Date,Open,High,Low,Close,Volume,Dividends
2020-12-24,130.51539615357294,132.64228354719603,130.29674290294187,131.16140747070312,54930100,0.0
2020-12-28,133.16903940704694,136.4985046247896,132.69196948142917,135.8524932861328,124486200,0.0
2020-12-29,137.2041640089342,137.93962028736783,133.5168886855658,134.04364013671875,121047300,0.0
2020-12-30,134.7492846750138,135.15677618878598,132.58263394627838,132.9006805419922,96452100,0.0
2020-12-31,133.25848164014786,133.91444140065303,130.9129409650997,131.8769989013672,99116600,0.0
2021-01-04,132.7019299263969,132.7913748585587,125.98334618553814,128.6171112060547,143301900,0.0
2021-01-05,128.10028483326948,130.9328288271073,127.64309660027507,130.20729064941406,97664900,0.0
2021-01-06,126.93746609797095,130.24706514663714,125.60567227912753,125.82432556152344,155088000,0.0
2021-01-07,127.57354628560186,130.8235154303766,127.07660975678061,130.11785888671875,109578200,0.0
2021-01-08,131.61858241454448,131.81736912911833,129.43206504190618,131.2409210205078,105158200,0.0
2021-01-11,128.39846305733934,129.3724544099275,127.71268821944076,128.1897430419922,100384500,0.0
2021-01-12,127.71268405765785,128.89539538705208,126.08273289886468,128.01084899902344,91951100,0.0
2021-01-13,127.97107374805242,130.64459437167565,127.7027389744133,130.08802795410156,88636800,0.0
2021-01-14,129.9985976762556,130.19736925274194,127.9710881663171,128.12017822265625,90221800,0.0
2021-01-15,127.99095874031573,129.42213823100548,126.22186608246253,126.36100769042969,111598500,0.0
2021-01-19,126.9970943921661,127.92140419479874,126.16224468774232,127.04679107666016,90757300,0.0
2021-01-20,127.8717068409086,131.67824234068178,127.76238020171358,131.22105407714844,104319500,0.0
2021-01-21,132.9802201410984,138.8142502241083,132.77150012312978,136.03140258789062,120150900,0.0
2021-01-22,135.44501185006317,138.99314575573413,134.19273732380793,138.21792602539062,114459400,0.0
2021-01-25,142.19340155601532,144.20101387345147,135.7033976366069,142.0443115234375,157611700,0.0
2021-01-26,142.72017399380002,143.4158820857359,140.50382620515572,142.28286743164062,98390600,0.0
2021-01-27,142.5511915581706,143.41587134689354,139.5497061340958,141.18959045410156,140843800,0.0
2021-01-28,138.66514952033248,141.1200167658591,135.8624206980369,136.25003051757812,142621100,0.0
2021-01-29,134.99775725277252,135.90218522759778,129.41219643141952,131.15147399902344,177523800,0.0
2021-02-01,132.93049018092253,134.55050773658283,130.12776153851365,133.31809997558594,106239800,0.0
2021-02-02,134.8983743850827,135.4748225292844,133.78524150816793,134.1629180908203,83305400,0.0
2021-02-03,134.92819525200724,134.9381436879628,132.79137433278675,133.11935424804688,89880900,0.0
2021-02-04,135.4648997882876,136.55815104443272,133.76537019955126,136.5482177734375,84183100,0.0
2021-02-05,136.71244066662337,136.7821078356585,135.22935163476987,136.1251678466797,75693800,0.205
2021-02-08,135.39857030890502,136.32426130241197,134.29372213547043,136.2744903564453,71297200,0.0
2021-02-09,135.98581588626496,137.2399767860381,135.21940110080243,135.37864685058594,76774200,0.0
2021-02-10,135.84645697168816,136.35409927715415,133.77611048803575,134.7615203857422,73046600,0.0
2021-02-11,135.26916139321008,135.7568923359271,133.1490589417166,134.50274658203125,64280000,0.0
2021-02-12,133.7263534408467,134.9008685912037,133.06941351541425,134.74160766601562,60145100,0.0
